violation_text,facility_type,Total_Settlement,Cluster,notification,facility_id
failed to reconcile quarterly nox emissions in the st rd and th quarters nox emissions from the beginning of the compliance year through the st rd and th quarters exceeded the annual nox allocation in effect at the end of the reconciliat,rt,7200.0,2,P56324,3704
failed to reconcile quarterly nox emissions in the rd last quarters of cy nox emissions from the beginning of the compliance year through the end of the rd last quarters exceeded the annual nox emissions allocation in effect at the end o,r,25000.0,2,P62054,119907
failed to reconcile quarterly nox emissions in the nd rd quarters of cy nox emissions from the beginning of cy through the end of the nd rd last quarters exceeded the annual nox emissions allocation in effect at the end of the reconci,r,150000.0,2,P55534,11119
failed to reconcile quarterly nox emissions in the second and third quarters failed to reconcile quarterly nox emissions in the fourth quarter nox emissions from the beginning of the compliance year through the end of the last quarter exceeded the,r,32500.0,2,P62801,122666
failed to reconcile quarterly nox emissions in the st quarter of cy nox emissions from the beginning of the compliance year through the end of the st quarter exceeded the annual nox emissions allocation in effect at the end of the reconcilia,r,32500.0,2,P62056,122666
failed to reconcile qrtrly nox emissions in the last qrtr from the begining of the compliance year through the end of the last qrtr exceeded the annual nox emissions allocation in effect at the end of the reconciliation period for that qrtr,rt,7500.0,2,P55546,1073
failed to reconcile quarterly nox emissions in the rd quarter of cy nox emissions from the beginning of the compliance year through the end of the rd quarter exceeded the annual nox emissions allocation in effect at the end of the reconcilia,rt,1000.0,2,P62053,115563
failed to reconcile nox emissions in the first quarter of the compliance year nox emissions from the beginning of the compliance year through the end of the first and second quarters exceeded the annual nox emissions allocation in,r,3000.0,2,P57645,145836
 failed to reconcile quarterly nox emissions in the last quarter of compliance year nox emissions from beginning of the compliance year through the end of the last qtr exceeded the annual nox emissoins allocation in effect at the end of,rt,31000.0,2,P52198,129816
 failed to reconcile quarterly nox emissions in the nd qtr of compliance year nox emissions from the beginning of the compliance year through the end of the nd qtr exceeded the annual nox emissions allocation in effect at the end of,rt,4500.0,2,P60569,15504
failed to reconcile quarterly nox emissions in the nd q for cy nox emissions from beginning of cy through the end of the nd q exceeded the annual nox emissions allocation in effect at the end of the reconcilation period for that quarter,rt,29900.0,2,P55675,53729
for compliance year nox emissions from the beginning of the compliance year through the end of the last quarter exceeded the annual emissions allocation in effect at the end of the reconciliation period for that quarter,r,10000.0,2,P59394,11119
failed to reconcile quarterly nox emissions in the nd quarter of cy nox emissions from the beginning of the compliance year through the end of the nd quarter exceeded the annual nox emissions allocation in effect at the end of the reconcilia,rt,3000.0,2,P62057,153033
 nox emissions from the beginning of the cy through the end of the last qtr exceeded the annual nox emissions allocation in effect at the end of the reconciliation period for that qtr failed to reconcile qtrly nox emissions in the last qtr of c,r,6000.0,2,P52199,19390
 failed to reconcile quarterly nox emissions in the rd qtr of the cy nox emissions from the beginning of the compliance year through the end of the rd qtr exceeded the annual nox emissions allocation in effect at the end of reconcilation,r,6000.0,2,P60565,19390
failed to reconcile nox emissions in the fourth quarter of the compliance year nox emissions from the beginning of the compliance year through the end of the fourth quarter exceeded the annual nox emissions allocation in effect at the end,rt,1000.0,2,P64408,172005
