facility id,notification,Attorney,Total,url,violation_data,equipment,reclaim,titlev,reclaim_titlev,none
3704,P56324,KCM,7200.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P56324&notice_type=NOV&fac_id=3704 ,"Failed to reconcile quarterly NOx emissions in the 1st, 3rd, and 4th quarters.  NOx emissions from the beginning of the 2012 Compliance Year through the 1st , 3rd, and 4th quarters exceeded the annual NOx Allocation in effect at the end of the reconciliat",NOX RECLAIM facility,,,,
3704,P56323,KCM,7200.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P56323&notice_type=NOV&fac_id=3704 ,Inaccurate QCERs.  Inaccurate APEP.,NOx RECLAIM facility,,,,
2526,P37231,BTG,3500.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P37231&notice_type=NOV&fac_id=2526 ,"FAILURE TO KEEP THE ROOF OF INTERNAL FLOATING ROOF TANK (TANK 1, PERMIT NO. G20725) FLOATING ON THE ORGANIC LIQUID AT ALL TIMES.",,,,,
2526,P37230,BTG,3500.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P37230&notice_type=NOV&fac_id=2526 ,FAILURE TO OPERATE AND MAINTAIN A CONTINUOUS MONITORING SYSTEM (CMS) ACCORDING TO RULE 462 PLAN.,,,,,
158141,P60306,WBW,9438.66,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P60306&notice_type=NOV&fac_id=158141,"Selling architectural coatings within the SCAQMD with a VOC content in excess of the limits in the Rule 1113 - Table of Standards 1 for the years: 2009, 2010, & 2011",,,,,
115862,P59039,NSF,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59039&notice_type=NOV&fac_id=115862,"FAILURE TO CONDUCT REVERIFICATION TEST 6 MONTHS AFTER LAST SUCCESSFUL TEST. VIOLATION OF PERMIT CONDITION #37 ( N24750); EXCEEDING THROUGHPUT LIMIT OF 161,000 GAL/MO",,,,,
115862,P61478,NSF,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61478&notice_type=NOV&fac_id=115862,"Failure to post permit on site. Failure to provide daily inspections. Failure to provide periodic compliance inspection reports. Failure to provide complete records; repair log, test records, throughput records. Failure to provide ISD alarm log. Failure",to repair/replace vapor recovery components with minor defects within 7 days; gasket on cap on fill side of premium tank missing.,,,,
115862,P61475,NSF,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61475&notice_type=NOV&fac_id=115862,Operating a gasoline dispensing facility contrary to CARB Executive Orders and manufacturers specifications and with major defects: upside down breakaway on #2; faulty insertion interlock on nozzle #8,,,,,
800057,P52622,BTG,3000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P52622&notice_type=NOV&fac_id=800057,"TWO VAPOR RECOVERY HOSES LEAKING ABOVE 3,000 PPM VOC AT LOADING RACK LANES #8 AND #9.",,,,,
84456,P61702,NSF,2500.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61702&notice_type=NOV&fac_id=84456 ,"Operating an AJAX boiler rated at 4.25 million btu/hr without a valid permit to operate, failure to conduct the required source test, failure to conduct portable anayzer tests and failure to comply with the scheduled deadlines",AJAX boiler rated at 4.25 million btu/hr,,,,
137966,P58832,KCM,1200.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P58832&notice_type=NOV&fac_id=137966,Emitting more than permitted limit for NOx and CO per condition # 7 of P/O G15405.,,,,,
165580,P62241,WBW,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P62241&notice_type=NOV&fac_id=165580,Operating gasoline dispensing equipment after a failed test on 8/20/13 the facility failed the following tests: TP201.10 for grade 91 and a TP201.4 at dispenser 3/4. Operating gasoline dispensing equipment with an uncertified component. Facility is,operating with a Husky Model 4885 P/V Vent valve.,,,,
165580,P61253,WBW,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P61253&notice_type=NOV&fac_id=165580,Permit Condition - Gasoline Dispensing Facility has exceeded maximum throughput limit in one calendar month: May 2013,,,,,
45471,P52196,KCM,1200.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P52196&notice_type=NOV&fac_id=45471 ,Failure to submit an Annual Permit Emissions Program (APEP) report for the 2012 Compliance Year.,,,,,
158910,P34696,NSF,10000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P34696&notice_type=NOV&fac_id=158910,Open ended line.  Uncapped valve.,,,,,
114801,P57815,BTG,10625.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P57815&notice_type=NOV&fac_id=114801,Failed to submit daily emissions reports in a timely manner; and failed to properly apply Missing Data Procedure (MDP) to CEMS monitored emission data and generate data availability.,RECLAIM Major Source D1,,,,
173194,P56835,NSF,1600.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P56835&notice_type=NOV&fac_id=173194,Operating a gasoline dispensing facility not according to CARB Executive Order VR-204; tank #2 not listed in in-tank settings; nozzle #1 not setup for collection tests; failure to maintain records of ISD alarms and associated repairs after manually,clearing ISD alarms,,,,
173194,P59918,NSF,1600.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P59918&notice_type=NOV&fac_id=173194,FAILURE TO SHOW COMPLIANCE BY OPERATING ABOVE SITE WITH AN EXPIRED PERMIT TO OPERATE; NOT PERFORMING THE ANNUAL PERIODIC COMPLIANCE INSPECTION; NOT PERFORMING THE BI ANNUAL REVERIFICATION TEST SINCE 3/28/11,,,,,
157644,P60324,LBN,500.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P60324&notice_type=NOV&fac_id=157644,Selling Architectural coatings within the SCAQMD with a VOC content in excess of the limits listed in the Rule 1113 - Table of Standards for years: 2010 & 2011.,,,,,
11034,P55543,TRB,1000.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=P55543&notice_type=NOV&fac_id=11034 ,The electronic report of daily mass emissions of NOx & daily status codes were submitted late for d26& D41.  The 2nd quarter QCER was inaccurate.  The APEP report was inaccurate.,,,,,
800026,SRV105,KCM,71200.0,http://www3.aqmd.gov/webappl/fim/prog/novdetail.aspx?novid=SRV105&notice_type=NOV&fac_id=800026,,,,,,
